Listing the mapping from points of 1964 dataset to those of 1968 dataset
Matched (741, 254) to point (791, 252) with cost = 1.41421
Matched (740, 254) to point (790, 252) with cost = 1
Matched (740, 253) to point (790, 253) with cost = 0
Matched (739, 253) to point (790, 253) with cost = 1
Matched (738, 253) to point (790, 253) with cost = 0
Matched (738, 253) to point (789, 253) with cost = 0
Matched (738, 252) to point (788, 253) with cost = 0
Matched (737, 252) to point (787, 253) with cost = 1.41421
Matched (736, 252) to point (786, 253) with cost = 1.41421
Matched (736, 251) to point (786, 253) with cost = 1
Matched (735, 251) to point (786, 253) with cost = 1
Matched (735, 251) to point (785, 253) with cost = 1
Matched (734, 251) to point (784, 253) with cost = 1
Matched (733, 251) to point (784, 252) with cost = 0
Matched (732, 251) to point (783, 252) with cost = 0
Matched (731, 251) to point (782, 252) with cost = 0
Matched (730, 251) to point (782, 252) with cost = 1
Matched (729, 251) to point (781, 252) with cost = 0
Matched (728, 251) to point (781, 252) with cost = 0
Matched (727, 251) to point (780, 252) with cost = 0
Matched (726, 251) to point (780, 251) with cost = 0
Matched (725, 251) to point (779, 251) with cost = 0
Matched (725, 251) to point (778, 251) with cost = 1.41421
Matched (724, 251) to point (778, 252) with cost = 1
Matched (724, 250) to point (777, 252) with cost = 1.41421
Matched (723, 250) to point (777, 252) with cost = 1
Matched (722, 250) to point (776, 252) with cost = 1
Matched (722, 249) to point (775, 252) with cost = 1
Matched (721, 249) to point (774, 252) with cost = 1
Matched (720, 249) to point (773, 252) with cost = 1
Matched (720, 248) to point (772, 252) with cost = 1
Matched (720, 248) to point (771, 252) with cost = 2.23607
Matched (719, 248) to point (771, 253) with cost = 2.23607
Matched (718, 248) to point (771, 253) with cost = 2.23607
Matched (717, 248) to point (770, 253) with cost = 2.23607
Matched (717, 247) to point (770, 254) with cost = 2.23607
Matched (716, 247) to point (769, 254) with cost = 2
Matched (716, 247) to point (768, 254) with cost = 2
Matched (715, 247) to point (767, 254) with cost = 2
Matched (714, 247) to point (766, 254) with cost = 3.16228
Matched (713, 247) to point (766, 255) with cost = 3.16228
Matched (712, 247) to point (765, 255) with cost = 3.16228
Matched (712, 246) to point (764, 255) with cost = 3.16228
Matched (712, 246) to point (763, 255) with cost = 3.16228
Matched (711, 246) to point (762, 255) with cost = 3.16228
Matched (710, 246) to point (761, 255) with cost = 3.16228
Matched (709, 246) to point (760, 255) with cost = 3.16228
Matched (708, 246) to point (759, 255) with cost = 3.16228
Matched (708, 245) to point (759, 256) with cost = 3.16228
Matched (707, 245) to point (758, 256) with cost = 3.16228
Matched (706, 245) to point (757, 256) with cost = 3.16228
Matched (705, 245) to point (756, 256) with cost = 3.16228
Matched (704, 245) to point (755, 256) with cost = 3.16228
Matched (704, 244) to point (754, 256) with cost = 3.16228
Matched (704, 244) to point (753, 256) with cost = 2.23607
Matched (703, 244) to point (753, 256) with cost = 3.60555
Matched (702, 244) to point (753, 257) with cost = 3.16228
Matched (701, 244) to point (752, 257) with cost = 2
Matched (701, 243) to point (751, 257) with cost = 2
Matched (701, 243) to point (750, 257) with cost = 2
Matched (700, 243) to point (749, 257) with cost = 2
Matched (700, 242) to point (748, 257) with cost = 2
Matched (700, 242) to point (747, 257) with cost = 2
Matched (699, 242) to point (746, 257) with cost = 2
Matched (698, 242) to point (745, 257) with cost = 1.41421
Matched (698, 242) to point (745, 256) with cost = 1
Matched (698, 241) to point (744, 256) with cost = 1
Matched (697, 241) to point (743, 256) with cost = 1
Matched (696, 241) to point (742, 256) with cost = 1.41421
Matched (696, 240) to point (742, 256) with cost = 1
Matched (696, 240) to point (742, 255) with cost = 0
Matched (695, 240) to point (741, 255) with cost = 1
Matched (694, 240) to point (740, 255) with cost = 1.41421
Matched (694, 239) to point (740, 255) with cost = 0
Matched (694, 239) to point (740, 254) with cost = 1.41421
Matched (693, 239) to point (739, 254) with cost = 1
Matched (692, 239) to point (739, 254) with cost = 1
Matched (692, 238) to point (738, 254) with cost = 1.41421
Matched (692, 238) to point (737, 254) with cost = 2.23607
Matched (691, 238) to point (737, 254) with cost = 2.23607
Matched (691, 237) to point (736, 254) with cost = 2.23607
Matched (691, 237) to point (735, 254) with cost = 3.16228
Matched (690, 237) to point (735, 254) with cost = 2
Matched (689, 237) to point (735, 253) with cost = 2.23607
Matched (689, 236) to point (734, 253) with cost = 2.23607
Matched (689, 236) to point (733, 253) with cost = 2.23607
Matched (688, 236) to point (732, 253) with cost = 1
Matched (687, 236) to point (732, 252) with cost = 1.41421
Matched (686, 236) to point (732, 252) with cost = 1
Matched (686, 235) to point (731, 252) with cost = 1
Matched (686, 235) to point (730, 252) with cost = 1
Matched (685, 235) to point (729, 252) with cost = 1
Matched (685, 234) to point (729, 251) with cost = 0
Matched (685, 234) to point (728, 251) with cost = 0
Matched (684, 234) to point (727, 251) with cost = 0
Matched (683, 234) to point (726, 251) with cost = 0
Matched (683, 233) to point (725, 251) with cost = 0
Matched (683, 233) to point (725, 251) with cost = 1
Matched (682, 233) to point (724, 251) with cost = 0
Matched (682, 233) to point (724, 251) with cost = 1
Matched (682, 232) to point (724, 251) with cost = 0
Matched (681, 232) to point (724, 250) with cost = 0
Matched (681, 231) to point (723, 250) with cost = 0
Matched (681, 231) to point (722, 250) with cost = 1.41421
Matched (680, 231) to point (721, 250) with cost = 1.41421
Matched (680, 230) to point (720, 250) with cost = 0
Matched (679, 230) to point (720, 249) with cost = 1
Matched (679, 230) to point (720, 249) with cost = 1.41421
Matched (679, 229) to point (719, 249) with cost = 1.41421
Matched (678, 229) to point (719, 249) with cost = 1
Matched (678, 229) to point (719, 249) with cost = 1
Matched (678, 228) to point (718, 249) with cost = 1
Matched (677, 228) to point (717, 249) with cost = 2.23607
